probeset,human1,human2,human3,human4,chimp1,chimp2,chimp3,chimp4
1552839_at,2.78256642347534,3.03866281920296,3.07502159460792,3.24445594470975,2.89523140569332,2.94513131842423,3.0856284256798,2.94513131842423
1552841_s_at,3.42011786654459,3.33077941858732,3.21327062540447,3.1704551670843,3.04270506450278,3.31433326073764,3.44702438488685,2.94430894164858
1552842_at,6.98353608678678,6.6420064222925,6.68995418059717,6.8993460528837,6.69594689688585,6.60602630722707,6.82013895005697,7.31181796872476
1552843_at,7.35171822587629,7.62297704725606,7.57929229642537,6.93280408097334,8.5042300126293,8.6545080459979,8.23771617950502,7.69127613204347
1552845_at,2.52631064613667,2.95606275031216,2.89283380725146,2.55234673833816,2.77473543924712,3.05466163549558,2.94021150023755,3.0734104240875
1552846_s_at,8.53391104058559,8.17307942361455,8.13302003258653,8.13489355307123,8.41520035422619,7.87451390175561,7.78000273610082,7.52288029642255
1552848_a_at,13.2694009654164,12.2907135311523,13.6633842762764,13.2845345008781,8.30911542796496,7.41389017670014,10.602115493497,7.29563636478018
1552849_at,5.27803683353098,5.43868807372557,5.30509507147954,5.4088977231974,5.47948430203545,6.14608046152819,6.1996368359494,5.60144152071954
1552851_at,5.12336082630798,4.70916547752523,4.79436089734929,5.17552108337252,6.4127121530948,4.60060326408765,4.2829143466152,3.95235462942341
1552852_a_at,2.78185809466847,2.43631542815431,2.70178534125144,2.6204045182198,2.74290682666775,2.63473709453919,2.77401950132641,2.65328467231072
1552853_at,12.5725720990487,12.6090989016998,12.841695944928,12.7362915887968,3.39420635577889,3.95636397780875,2.57625738607642,2.50149145145889
1552854_a_at,2.73892123585518,2.85121380267971,2.73050549559539,2.91520879099717,3.04220701812446,2.66981842710892,2.90019051196732,2.66632405341613
1552856_at,13.6029594156454,13.6684268076123,13.8402244040558,13.721715219132,11.9221838922907,12.6544984763422,12.2584042965243,12.1599491651918
1552857_a_at,13.302977549858,13.5040892474715,13.4538007252458,13.2454965342423,11.2940445126596,11.1612480285214,11.3685729560216,11.2019688090961
1552858_at,13.3054200924967,13.4606794590958,13.4484708511417,13.2786486377421,11.1700795732077,11.1282340192516,11.3578938707665,11.2637808414625
1552860_at,7.42346630796976,6.61078478434249,7.56401628336296,8.10277063985174,4.03552450371714,2.85246577469094,2.74341173681188,3.75019723536222
1552862_at,7.94343613195333,7.70995254450239,7.64070753275527,8.00667255902741,7.60675881826217,8.02892982324327,7.7977716346689,7.92057382012292
1552863_a_at,7.42746521391348,7.38388070733793,6.70454013259661,6.93794011734968,7.47719685081849,6.9457770062743,7.05334538886436,6.72409638495486
1552865_a_at,13.5360306146512,13.512846438053,13.6831948205645,13.4975583416282,10.5757055779953,9.99735886294162,10.3954426238614,9.28382295030714
